timestamp,query,route,top_score,second_score,score_gap,n_candidates_above_threshold,clarification_triggered,clarification_reason
1770865361.611189,คำถามทดสอบระบบ,contact_ambiguous,0.0,0.0,0.0,0,False,none
1770865366.7058702,หัวข้อที่ต้องการตรวจสอบ,pending_clarification,0.82,0.81,0.009999999999999898,2,True,vector_ambiguous
1770865371.050932,random empty query,rag_miss_coverage,0.0,0.0,0.0,0,False,none
1770880369.612131,คำสั่ง huawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770880382.922295,4,article_link_only_index,0.0,0.0,0.0,0,False,none
1770880931.8254678,query_with_low_confidence,rag_miss_coverage,0.0,0.0,0.0,0,False,none
1770880939.409607,query_with_high_confidence,contact_miss_strict,0.0,0.0,0.0,0,False,none
1770881091.427933,query_with_high_confidence,contact_miss_strict,0.0,0.0,0.0,0,False,none
1770881141.386574,query_with_low_confidence,clarification_low_confidence,0.0,0.0,0.0,0,False,none
1770881145.635243,query_with_high_confidence,contact_miss_strict,0.0,0.0,0.0,0,False,none
1770881348.931905,คำสั่ง huawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770881351.0575202,1,article_link_only_index,0.0,0.0,0.0,0,False,none
1770881380.61102,คำสั่ง huawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770882954.670096,คำสั่ง huawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770883426.91962,คำสั่ง huawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770883565.606375,คำสั่งhuawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770884717.258219,คำสั่ง huawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770884725.362232,Huawei NE8000 Command Manual,article_link_only_index,0.0,0.0,0.0,0,False,none
1770884735.432329,คำสั่ง huawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770884740.693415,config VAS by Huawei,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770884756.534229,fix ip,clarification_low_confidence,0.0,0.0,0.0,0,False,none
1770884771.0714471,bras for fixip,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770884786.5681899,ข้อจำกัดของ ncs,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770884804.929599,เข้า ONU ไม่ได้,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770885114.4992378,ใครคือผจ,position_ambiguous,0.0,0.0,0.0,0,False,none
1770885122.294842,ใช่,position_lookup,0.0,0.0,0.0,0,False,none
1770885150.499949,ขอเบอร์ศูนย์หาดใหญ่หน่อย,contact_ambiguous,0.0,0.0,0.0,0,False,none
1770885190.547769,ขอMac addressหน่อย,contact_miss_strict,0.0,0.0,0.0,0,False,none
1770885205.435603,MAC Addrass ของยี่ห้อแปลกๆ,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770885322.173515,MAC Addrass ของยี่ห้อแปลกๆ,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770885718.966878,MAC Addrass,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770885739.220884,วีธีบีบ แบนวิธ ที่ port onu Zte,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770885858.753958,การทำbrifgrระหว่างport,clarification_low_confidence,0.0,0.0,0.0,0,False,none
1770886188.008662,การทำ Bridge ระหว่างพอร์ตใน Cisco Router,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770886765.3869991,สวัสดี,greeting_gate,0.0,0.0,0.0,0,False,none
1770886765.4087539,ขอบคุณ,greeting_deterministic,0.0,0.0,0.0,0,False,none
1770886765.418269,ok,contact_ambiguous,0.0,0.0,0.0,0,False,none
1770886765.422287,hi,greeting_gate,0.0,0.0,0.0,0,False,none
1770886765.428229,1,article_direct,0.0,0.0,0.0,0,False,none
1770887018.421667,test query,rag_miss_coverage,0.0,0.0,0.0,0,False,none
1770887018.534047,สวัสดี,greeting_gate,0.0,0.0,0.0,0,False,none
1770887018.538263,ขอบคุณ,greeting_deterministic,0.0,0.0,0.0,0,False,none
1770887018.548911,ok,contact_ambiguous,0.0,0.0,0.0,0,False,none
1770887018.5534358,hi,greeting_gate,0.0,0.0,0.0,0,False,none
1770887018.5588229,1,article_direct,0.0,0.0,0.0,0,False,none
1770887232.680044,MAC Addrass ของยี่ห้อแปลกๆ,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770887238.414876,การทำ Bridge ระหว่างพอร์ตใน Cisco Router,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770887242.948131,bras for fixip,article_link_only_exact,0.0,0.0,0.0,0,False,none
1770887248.5994592,huawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770887257.279511,คำสั่ง huawei,pending_clarification,0.0,0.0,0.0,0,False,none
1770887264.658936,Huawei NE8000 Command Manual,article_link_only_index,0.0,0.0,0.0,0,False,none
1770887270.0190709,cisco,blocked_vendor_out_of_scope,0.0,0.0,0.0,0,False,none
1770887279.7875872,zte,pending_clarification,0.0,0.0,0.0,0,False,none
1770887285.150164,การทำbrifgrระหว่างport,clarification_low_confidence,0.0,0.0,0.0,0,False,none
1770887294.039552,สวัสดีครับ,greeting_gate,0.0,0.0,0.0,0,False,none
1770887305.934678,ใครคือผจ,position_ambiguous,0.0,0.0,0.0,0,False,none
1770887309.9843671,ใช่,contact_miss_strict,0.0,0.0,0.0,0,False,none
1770887820.504562,ใช่,position_confirmed,0.0,0.0,0.0,0,False,none
1770887862.8307378,ใช่,position_confirmed,0.0,0.0,0.0,0,False,none
1770888239.182422,ใช่,position_confirmed,0.0,0.0,0.0,0,False,none
1770888239.1857631,ใช่,rag_miss_coverage,0.0,0.0,0.0,0,False,none
1770888239.3477252,สวัสดี,greeting_gate,0.0,0.0,0.0,0,False,none
1770888239.3580859,สวัสดี ,greeting_gate,0.0,0.0,0.0,0,False,none
1770888470.578306,test query,rag_miss_coverage,0.0,0.0,0.0,0,False,none
1770888470.6799,วิธีตั้งค่า,rag_miss_coverage,0.0,0.0,0.0,0,False,none
1770888567.69853,ใครคือผจ,position_ambiguous,0.0,0.0,0.0,0,False,none
1770888572.903971,ใช่,position_lookup,0.0,0.0,0.0,0,False,none
1770888577.7760231,ใครคือผส,position_ambiguous,0.0,0.0,0.0,0,False,none
1770888582.140866,ใช่,position_lookup,0.0,0.0,0.0,0,False,none
